timestamp,inter_arrival,hop_valid,seq_delta,channel_index,payload_length,packet_rate_2s,seq_baseline_count,label
2025-11-24 15:38:31,0.055485,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.052343,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.050813,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.051190,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.051651,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.051326,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.050988,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.052242,1,0,37,6,38,0,1
2025-11-24 15:38:31,0.050729,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051393,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051306,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051074,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.052052,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.052644,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.050942,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.050992,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051481,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051690,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051245,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051790,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.055235,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051157,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051597,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051070,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051435,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051710,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051128,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.051685,1,0,37,6,39,0,1
2025-11-24 15:38:32,0.050749,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051661,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.050955,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.067109,1,0,37,6,38,0,1
2025-11-24 15:38:33,0.053978,1,0,37,6,38,0,1
2025-11-24 15:38:33,0.051875,1,0,37,6,38,0,1
2025-11-24 15:38:33,0.052149,1,0,37,6,38,0,1
2025-11-24 15:38:33,0.050593,1,0,37,6,38,0,1
2025-11-24 15:38:33,0.051214,1,0,37,6,38,0,1
2025-11-24 15:38:33,0.051541,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051690,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051241,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051535,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.050735,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051228,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051328,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.050874,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051208,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.051119,1,0,37,6,39,0,1
2025-11-24 15:38:33,0.050973,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051215,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051382,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051672,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051202,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051759,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051084,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051155,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051084,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051266,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051401,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051518,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051604,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051256,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051031,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.051538,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.050908,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.053773,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.053147,1,0,37,6,39,0,1
2025-11-24 15:38:34,0.077206,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051646,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051183,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051225,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051333,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.050860,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051602,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051884,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.050213,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.050813,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051416,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051538,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051472,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051607,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051061,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051331,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.051336,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.050943,1,0,37,6,39,0,1
2025-11-24 15:38:35,0.098025,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.054332,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.050426,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051213,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051093,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051211,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051355,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051548,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051702,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051175,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.052561,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.050572,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051150,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051920,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.050967,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051368,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.051208,1,0,37,6,38,0,1
2025-11-24 15:38:36,0.050863,1,0,37,6,38,0,1
